measured log solubility in mols per litre,smiles,mol_id
-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,Amigdalin
-3.3,Cc1occc1C(=O)Nc2ccccc2,Fenfuram
-2.06,CC(C)=CCCC(C)=CC(=O),citral
-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,Picene
-1.33,c1ccsc1,Thiophene
-1.5,c2ccc1scnc1c2 ,benzothiazole
-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,"2,2,4,6,6'-PCB"
-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,Estradiol
-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,Dieldrin
-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,Rotenone
1.07,O=C1CCCN1,2-pyrrolidone
-4.14,Clc1ccc2ccccc2c1,2-Chloronapthalene
-2.68,CCCC=C,1-Pentene 
-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2,Primidone
-7.96,CCCCCCCCCCCCCC,Tetradecane
-1.41,CC(C)Cl,2-Chloropropane
-0.47,CCC(C)CO,2-Methylbutanol
-1.0,N#Cc1ccccc1,Benzonitrile
-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,Diazinon
-2.94,CCCCCCCCCC(C)O,2-Undecanol
-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,"2,2',3,4,6-PCB"
-4.5939999999999985,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,Lenacil
-4.11,CCOP(=S)(OCC)SCSCC,Phorate
-2.35,CCOc1ccc(NC(=O)C)cc1,Phenacetin
-5.47,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,Dinitramine
-1.81,CCCCCCCO,1-Heptanol
-1.39,Cn1c(=O)n(C)c2nc[nH]c2c1=O,Theophylline
-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O,Butethal
-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,"P,P'-DDE"
-3.17,CCCCCCCC(=O)OC,Methyl octanoate
-3.75,CCc1ccc(CC)cc1,"1,4-Diethylbenzene "
-4.755,CCOP(=S)(OCC)SCSC(C)(C)C,Terbufos
-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,Phenmedipham
-1.64,ClC(=C)Cl,"1,1-Dichloroethylene"
-5.22,Cc1cccc2c1Cc3ccccc32,1-Methylfluorene
-0.85,CCCCC=O,Valeraldehyde
-3.504,N(c1ccccc1)c2ccccc2,Diphenylamine
-3.927,CN(C)C(=O)SCCCCOc1ccccc1,Fenothiocarb
-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,Piperophos
-4.81,CCCCCCCI,1-Iodoheptane
-4.88,c1c(Cl)cccc1c2ccccc2,3-Chlorobiphenyl
-0.15,OCCCC=C,4-Pentene-1-ol
-1.655,O=C2NC(=O)C1(CCC1)C(=O)N2,Cyclobutyl-5-spirobarbituric acid
-2.53,CC(C)C1CCC(C)CC1O ,menthol
-0.63,CC(C)OC=O,Isopropyl formate
-1.55,CCCCCC(C)O,2-Heptanol 
-3.083,CC(=O)Nc1ccc(Br)cc1,p-Bromoacetanilide
-3.127,c1ccccc1n2ncc(N)c(Br)c2(=O),brompyrazone
-4.76,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,nifedipine
-1.94,c2c(C)cc1nc(C)ccc1c2 ,"2,7-dimethylquinoline"
-3.66,CCCCCCC#C,1-Octyne 
-2.17,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,cyclobarbital
-8.057,c1ccc2c(c1)ccc3c4ccccc4ccc23,Chrysene
-2.523,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,Bromacil
-8.6,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,"2,2',3,3',5,6-PCB"
-0.62,Cc1ccccc1O,2-Methylphenol
